"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2018年6月11日","16.905","16.870","16.910","16.870","0.02K","0.71%"
"2018年6月10日","16.785","16.820","16.825","16.770","-","0.55%"
"2018年6月8日","16.694","16.735","16.760","16.735","0.02K","-4.17%"
"2018年6月7日","17.421","17.315","17.315","17.315","0.00K","4.68%"
"2018年6月6日","16.642","16.465","16.465","16.455","0.09K","0.92%"
"2018年6月5日","16.491","16.355","16.495","16.355","0.02K","0.68%"
"2018年6月4日","16.379","16.379","16.379","16.379","0.04K","-0.19%"
"2018年6月3日","16.410","16.430","16.430","16.405","-","-2.85%"
"2018年6月1日","16.891","16.880","16.880","16.880","0.14K","2.98%"
"2018年5月31日","16.402","16.500","16.500","16.500","0.07K","-0.47%"
"2018年5月30日","16.479","16.340","16.505","16.260","0.40K","1.07%"
"2018年5月29日","16.305","16.400","16.400","16.400","0.13K","-1.15%"
"2018年5月28日","16.495","16.510","16.525","16.440","-","-0.09%"
"2018年5月27日","16.510","16.530","16.530","16.490","-","0.18%"
"2018年5月25日","16.481","16.550","16.550","16.535","0.06K","-4.82%"
"2018年5月24日","17.315","17.270","17.270","17.230","0.01K","5.98%"
"2018年5月23日","16.338","16.295","16.295","16.285","0.03K","-1.03%"
"2018年5月22日","16.508","16.540","16.540","16.540","0.07K","0.34%"
"2018年5月21日","16.452","16.450","16.460","16.450","0.02K","-0.02%"
"2018年5月20日","16.455","16.465","16.470","16.425","-","0.41%"
"2018年5月18日","16.387","16.380","16.405","16.380","0.03K","-3.24%"
"2018年5月17日","16.935","16.830","16.830","16.830","0.01K","3.91%"
"2018年5月16日","16.297","16.297","16.297","16.297","0.05K","-2.55%"
"2018年5月15日","16.724","16.720","16.720","16.720","0.00K","0.93%"
"2018年5月14日","16.570","16.650","16.650","16.550","0.07K","-0.93%"
"2018年5月13日","16.725","16.700","16.730","16.685","-","0.29%"
"2018年5月11日","16.676","16.725","16.725","16.725","0.08K","-0.02%"
"2018年5月10日","16.680","16.460","16.685","16.455","0.04K","1.35%"
"2018年5月9日","16.458","16.515","16.515","16.455","0.15K","-2.84%"
"2018年5月8日","16.939","16.975","16.975","16.945","0.00K","-0.08%"
"2018年5月7日","16.953","16.955","16.955","16.955","0.00K","2.53%"
"2018年5月6日","16.535","16.560","16.565","16.535","-","-2.59%"
"2018年5月4日","16.975","16.935","16.935","16.935","0.00K","3.75%"
"2018年5月3日","16.362","16.370","16.530","16.340","0.64K","-2.76%"
"2018年5月2日","16.826","16.760","16.760","16.760","0.00K","4.91%"
"2018年5月1日","16.039","16.280","16.285","16.000","1.41K","-1.67%"
"2018年4月30日","16.312","16.475","16.485","16.140","1.57K","-0.87%"
"2018年4月29日","16.455","16.475","16.475","16.455","-","-2.96%"
"2018年4月27日","16.957","16.950","16.950","16.950","0.00K","-0.46%"
"2018年4月26日","17.036","16.960","16.960","16.960","0.00K","-0.05%"
"2018年4月25日","17.045","17.020","17.020","17.020","0.00K","-1.15%"
"2018年4月24日","17.244","17.210","17.210","17.210","0.00K","0.74%"
"2018年4月23日","17.117","17.430","17.430","17.155","0.00K","0.19%"
"2018年4月22日","17.085","17.115","17.135","17.070","-","-3.29%"
"2018年4月20日","17.666","17.730","17.730","17.730","0.00K","2.58%"
"2018年4月19日","17.222","17.170","17.170","17.170","0.00K","-3.03%"
"2018年4月18日","17.761","17.705","17.705","17.705","0.00K","5.90%"
"2018年4月17日","16.772","16.772","16.772","16.772","-","0.66%"
